"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 05, 2017","179.45","160.75","180.05","159.15","6.82M","11.46%"
"Feb 26, 2017","161.00","156.50","163.75","156.50","3.59M","5.99%"
"Feb 19, 2017","151.90","149.45","153.45","148.20","2.42M","2.32%"
"Feb 12, 2017","148.45","149.85","152.40","146.45","2.53M","-0.64%"
"Feb 05, 2017","149.40","146.25","150.05","142.60","3.14M","1.63%"
"Jan 29, 2017","147.00","153.10","153.75","145.60","3.75M","-4.45%"
"Jan 22, 2017","153.85","151.40","156.35","151.25","2.86M","1.08%"
"Jan 15, 2017","152.20","146.85","152.90","145.85","2.84M","2.87%"
"Jan 08, 2017","147.95","145.10","147.95","144.15","2.48M","2.18%"
"Jan 01, 2017","144.80","149.75","151.95","142.95","3.09M","-3.56%"
"Dec 25, 2016","150.15","144.50","150.15","144.50","1.16M","3.91%"
"Dec 18, 2016","144.50","144.10","147.10","143.50","1.84M","-0.17%"
"Dec 11, 2016","144.75","144.35","146.45","140.95","3.73M","0.24%"
"Dec 04, 2016","144.40","138.00","145.10","138.00","3.72M","4.26%"
"Nov 27, 2016","138.50","138.45","139.95","136.75","3.34M","-0.50%"
"Nov 20, 2016","139.20","139.55","140.45","137.70","2.35M","0.14%"
"Nov 13, 2016","139.00","134.50","140.65","134.00","3.81M","4.16%"
"Nov 06, 2016","133.45","135.00","140.30","129.60","5.73M","0.30%"
"Oct 30, 2016","133.05","149.05","150.70","131.80","6.59M","-11.12%"
"Oct 23, 2016","149.70","157.30","157.35","147.30","4.16M","-4.44%"
"Oct 16, 2016","156.65","156.50","160.30","155.55","3.35M","-0.29%"
"Oct 09, 2016","157.10","154.95","158.20","153.20","2.85M","1.26%"
"Oct 02, 2016","155.15","154.40","157.40","152.70","2.60M","0.42%"
"Sep 25, 2016","154.50","153.95","157.40","151.10","3.63M","-0.39%"
"Sep 18, 2016","155.10","150.05","155.35","148.35","4.22M","3.47%"
"Sep 11, 2016","149.90","142.30","151.40","142.05","13.29M","3.34%"
"Sep 04, 2016","145.05","145.20","149.40","144.05","3.04M","-0.28%"
"Aug 28, 2016","145.45","152.25","153.90","143.65","3.78M","-5.28%"
"Aug 21, 2016","153.55","156.00","156.65","151.45","3.00M","-1.92%"
"Aug 14, 2016","156.55","154.95","157.45","152.65","2.67M","0.90%"
"Aug 07, 2016","155.15","147.65","155.60","146.50","3.46M","5.90%"
"Jul 31, 2016","146.50","148.05","149.20","141.85","5.24M","-0.17%"
"Jul 24, 2016","146.75","137.60","147.95","137.30","5.49M","7.12%"
"Jul 17, 2016","137.00","131.35","139.20","130.25","4.31M","4.14%"
"Jul 10, 2016","131.55","128.00","132.40","126.85","3.12M","3.66%"
"Jul 03, 2016","126.90","128.50","129.30","124.30","3.35M","-1.01%"
"Jun 26, 2016","128.20","119.30","128.95","118.70","4.88M","6.97%"
"Jun 19, 2016","119.85","118.70","124.75","107.65","5.78M","2.26%"
"Jun 12, 2016","117.20","117.00","119.05","113.55","4.45M","-1.47%"
"Jun 05, 2016","118.95","117.40","120.00","116.70","3.10M","1.80%"
"May 29, 2016","116.85","115.75","117.75","114.10","3.80M","1.04%"
"May 22, 2016","115.65","113.75","116.25","112.80","2.92M","2.25%"
"May 15, 2016","113.10","110.40","113.10","109.10","2.86M","2.91%"
"May 08, 2016","109.90","114.20","116.50","108.90","4.32M","-3.68%"
"May 01, 2016","114.10","112.35","115.75","110.65","3.75M","1.33%"
"Apr 24, 2016","112.60","107.15","118.30","106.30","6.72M","5.09%"
"Apr 17, 2016","107.15","103.50","108.75","103.50","3.55M","2.68%"
"Apr 10, 2016","104.35","102.60","105.30","100.45","2.88M","1.31%"
"Apr 03, 2016","103.00","102.15","104.75","101.65","2.82M","0.54%"
"Mar 27, 2016","102.45","103.10","104.75","101.15","2.37M","0.00%"
"Mar 20, 2016","102.45","99.66","103.20","98.13","2.21M","2.25%"
"Mar 13, 2016","100.20","100.50","103.05","99.23","5.24M","0.53%"
"Mar 06, 2016","99.67","98.00","100.10","95.17","4.75M","2.30%"
"Feb 28, 2016","97.43","98.11","101.70","96.82","4.48M","-1.49%"
"Feb 21, 2016","98.90","100.00","100.65","95.48","4.38M","-0.44%"
"Feb 14, 2016","99.34","90.00","99.90","89.85","5.70M","12.71%"
"Feb 07, 2016","88.14","90.62","91.15","84.77","7.96M","-2.29%"
"Jan 31, 2016","90.21","95.00","96.09","90.05","5.69M","-5.02%"
"Jan 24, 2016","94.98","91.30","95.21","90.06","5.67M","4.05%"
"Jan 17, 2016","91.28","83.95","94.22","83.90","11.86M","8.65%"
"Jan 10, 2016","84.01","82.68","87.43","82.09","5.61M","0.67%"
"Jan 03, 2016","83.45","88.12","88.99","83.23","5.27M","-7.18%"
