,Date,Google trends Adidas,Price,Open,High,Low,Vol.,Change %
168,2018-10-21,60,203.4,205.1,207.6,196.55,4.43,0.30%
169,2018-10-28,60,206.5,204.8,209.6,201.3,4.16,1.52%
170,2018-11-04,62,203.9,206.9,208.2,195.15,4.5,-1.26%
171,2018-11-11,63,204.7,205.1,209.1,201.2,3.37,0.39%
172,2018-11-18,89,202.7,205.4,205.7,195.6,3.24,-0.98%
173,2018-11-25,75,194.8,204.1,204.9,193.2,3.77,-3.90%
174,2018-12-02,67,195.45,198.0,200.8,192.5,3.86,0.33%
175,2018-12-09,71,195.5,194.05,201.1,192.3,3.64,0.03%
176,2018-12-16,69,184.75,192.75,194.0,179.15,6.5,-5.50%
177,2018-12-23,72,182.4,185.15,185.25,178.15,1.25,-1.27%
178,2018-12-30,60,191.05,183.05,191.3,181.35,2.51,4.74%
179,2019-01-06,63,197.0,189.15,198.15,189.0,2.97,3.11%
180,2019-01-13,61,204.0,195.0,205.5,194.4,3.23,3.55%
181,2019-01-20,59,204.0,204.0,208.4,200.2,3.49,0.00%
182,2019-01-27,60,198.85,202.9,207.7,197.55,3.43,-2.52%
183,2019-02-03,59,198.35,199.2,203.6,194.8,3.43,-0.25%
184,2019-02-10,58,199.15,197.75,202.7,194.85,3.23,0.40%
185,2019-02-17,60,204.1,199.05,204.5,197.05,2.1,2.49%
186,2019-02-24,62,215.9,205.0,218.4,204.8,4.4,5.78%
187,2019-03-03,63,210.6,217.4,219.8,209.3,3.55,-2.45%
188,2019-03-10,65,212.4,211.6,215.6,197.25,7.09,0.85%
189,2019-03-17,69,209.9,211.2,214.5,206.2,3.55,-1.18%
190,2019-03-24,70,216.6,208.5,217.8,207.9,2.82,3.19%
191,2019-03-31,67,227.55,218.25,228.4,216.6,3.55,5.06%
192,2019-04-07,65,225.4,227.6,227.95,223.8,2.61,-0.94%
193,2019-04-14,63,232.15,225.05,232.2,224.25,2.35,2.99%
194,2019-04-21,63,229.2,231.6,232.5,227.25,2.26,-1.27%
195,2019-04-28,62,249.8,229.2,249.8,225.15,3.93,8.99%
196,2019-05-05,60,252.0,243.0,256.55,242.8,5.28,0.88%
197,2019-05-12,61,255.5,252.0,255.95,244.3,3.57,1.39%
198,2019-05-19,64,259.25,255.0,264.65,250.55,3.49,1.47%
199,2019-05-26,65,256.2,261.0,265.05,251.4,2.49,-1.18%
200,2019-06-02,70,265.25,254.75,266.35,254.3,2.67,3.53%
201,2019-06-09,62,260.6,267.35,268.35,254.3,2.5,-1.75%
202,2019-06-16,64,268.8,259.6,274.85,259.05,3.6,3.15%
203,2019-06-23,62,271.5,269.5,275.6,262.2,3.47,1.00%
204,2019-06-30,63,277.15,274.0,280.8,270.95,2.36,2.08%
205,2019-07-07,64,276.5,276.05,283.15,275.45,2.1,-0.23%
206,2019-07-14,66,278.95,277.35,283.15,275.8,2.22,0.89%
207,2019-07-21,64,289.8,279.0,289.8,278.55,2.61,3.89%
208,2019-07-28,70,279.4,288.9,296.75,278.8,3.93,-3.59%
209,2019-08-04,66,259.65,275.0,277.6,254.0,5.32,-7.07%
210,2019-08-11,69,257.7,261.0,264.15,253.2,3.34,-0.75%
211,2019-08-18,66,259.8,261.15,266.1,257.9,2.38,0.81%
212,2019-08-25,66,269.7,258.05,271.75,258.0,2.51,3.81%
213,2019-09-01,63,278.9,268.4,280.0,266.75,2.04,3.41%
214,2019-09-08,63,272.55,279.5,280.25,266.35,2.74,-2.28%
215,2019-09-15,62,274.75,272.0,277.0,266.85,2.99,0.81%
216,2019-09-22,60,285.1,273.8,285.7,269.05,2.72,3.77%
217,2019-09-29,60,271.6,284.8,289.05,265.65,2.48,-4.74%
218,2019-10-06,60,280.2,270.25,281.45,269.6,2.69,3.17%
219,2019-10-13,57,281.35,278.45,288.3,277.85,2.63,0.41%
220,2019-10-20,57,275.15,281.75,282.8,270.3,2.47,-2.20%
221,2019-10-27,56,280.0,274.6,280.95,271.25,2.3,1.76%
222,2019-11-03,62,272.0,280.9,287.35,266.3,4.93,-2.86%
223,2019-11-10,61,267.45,271.65,272.15,264.15,2.8,-1.67%
224,2019-11-17,63,273.0,271.55,276.35,267.9,2.38,2.08%
225,2019-11-24,92,282.75,274.85,286.75,273.55,2.42,3.57%
226,2019-12-01,74,279.2,284.0,288.3,273.9,3.05,-1.26%
227,2019-12-08,69,278.6,278.15,283.0,268.75,2.86,-0.21%
228,2019-12-15,70,291.45,279.95,291.95,279.1,3.82,4.61%
229,2019-12-22,69,292.5,292.3,294.95,290.55,676.43,0.36%
230,2019-12-29,62,291.95,291.3,293.25,288.35,1.09,-0.19%
231,2020-01-05,63,309.05,288.95,311.85,285.15,2.9,5.86%
232,2020-01-12,63,311.65,310.35,317.45,308.2,2.68,0.84%
233,2020-01-19,63,313.0,311.6,316.15,306.2,2.1,0.43%
234,2020-01-26,60,285.8,307.0,308.0,285.8,3.56,-8.69%
235,2020-02-02,57,289.1,285.75,294.75,281.8,3.65,1.15%
236,2020-02-09,56,288.4,287.15,291.35,283.7,2.9,-0.24%
237,2020-02-16,59,282.45,289.2,294.65,276.0,3.4,-2.06%
238,2020-02-23,56,250.55,273.9,274.25,243.5,7.52,-11.29%
239,2020-03-01,57,241.05,253.05,258.05,237.7,5.6,-3.79%
240,2020-03-08,54,171.94,213.0,234.9,165.86,15.77,-28.67%
241,2020-03-15,40,191.5,164.22,195.58,162.2,12.54,11.38%
242,2020-03-22,42,208.95,182.76,214.9,178.62,8.4,9.11%
243,2020-03-29,44,188.55,209.15,216.1,188.0,5.25,-9.76%
244,2020-04-05,49,224.3,195.5,226.0,193.35,4.34,18.96%
245,2020-04-12,55,218.7,227.8,229.0,209.6,3.89,-2.50%
246,2020-04-19,54,205.4,220.4,222.8,202.2,4.32,-6.08%
247,2020-04-26,56,209.2,198.25,217.8,197.2,4.83,1.85%
248,2020-05-03,57,207.9,203.0,212.8,193.05,5.04,-0.62%
249,2020-05-10,59,200.3,209.9,210.5,189.4,3.9,-3.66%
250,2020-05-17,63,217.8,203.3,221.4,203.3,4.61,8.74%
251,2020-05-24,66,237.2,220.3,240.0,218.4,5.49,8.91%
252,2020-05-31,61,264.5,241.3,265.6,239.0,5.23,11.51%
253,2020-06-07,62,230.1,261.9,261.9,228.8,5.31,-13.01%
254,2020-06-14,63,237.6,224.1,245.3,222.5,4.71,3.26%
255,2020-06-21,60,233.0,235.0,245.0,232.0,3.09,-1.94%
256,2020-06-28,60,241.4,231.9,246.0,228.8,3.24,3.61%
257,2020-07-05,58,235.6,247.9,249.1,231.7,2.77,-2.40%
258,2020-07-12,60,237.8,239.6,244.1,232.5,2.75,0.93%
259,2020-07-19,59,239.1,238.0,249.5,235.0,2.25,0.55%
